tile,score,prob_contaminated,anomaly_norm,clf_norm,final_score
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190091/48001F003202511190091 czarno/brudne_48001F003202511190091 czarno_x003_y002.bmp,0.7288445234298706,0.9914837969068538,0.9856710648625934,0.9915187431260376,0.9877177522547989
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190091/48001F003202511190091/brudne_48001F003202511190091_x003_y002.bmp,0.7284821271896362,0.9908288977944112,0.9845207544905586,0.9908539582716955,0.9867373758139566
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190106/48001F003202511190106/brudne_48001F003202511190106_x007_y002.bmp,0.7265306711196899,0.993356167954333,0.9783264844937792,0.9934193777282595,0.9836089971258473
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190104/48001F003202511190104 czarno/brudne_48001F003202511190104 czarno_x007_y002.bmp,0.7244277000427246,0.9986761067394264,0.9716512788118498,0.998819621312598,0.9811601986871117
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190104/48001F003202511190104/brudne_48001F003202511190104_x007_y002.bmp,0.7242274880409241,0.9986653564946996,0.9710157701704575,0.9988087087922738,0.9807432986880932
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190106/48001F003202511190106 czarno/brudne_48001F003202511190106 czarno_x007_y002.bmp,0.7245956659317017,0.994085297588014,0.9721844325336251,0.994159513618069,0.9798757109131804
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190087/48001F003202511190087/brudne_48001F003202511190087_x003_y002.bmp,0.7264720797538757,0.9830443578183466,0.9781405050372479,0.9829519101916382,0.9798244968412845
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190087/48001F003202511190087 czarno/brudne_48001F003202511190087 czarno_x003_y002.bmp,0.7261572480201721,0.9835758160441136,0.9771411729015427,0.983491390811619,0.9793637491700693
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190102/48001F003202511190102/brudne_48001F003202511190102_x007_y002.bmp,0.7235606908798218,0.9916103374113244,0.9688992369250705,0.9916471937671129,0.9768610218197853
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190102/48001F003202511190102 czarno/brudne_48001F003202511190102 czarno_x007_y002.bmp,0.7232407331466675,0.991067134806152,0.967883633951866,0.9910957914856059,0.976007889088675
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190098/48001F003202511190098 czarno/brudne_48001F003202511190098 czarno_x009_y002.bmp,0.7268276810646057,0.9617192652800536,0.979269247089807,0.9613049140855878,0.9729817305383303
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190098/48001F003202511190098/brudne_48001F003202511190098_x009_y002.bmp,0.7260155081748962,0.96210473121396,0.976691265325112,0.9616961986511908,0.9714429919892396
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190097/48001F003202511190097 czarno/brudne_48001F003202511190097 czarno_x001_y002.bmp,0.7179328799247742,0.9858593874120412,0.9510355601130389,0.9858094328281144,0.9632064155633153
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190095/48001F003202511190095/brudne_48001F003202511190095_x002_y002.bmp,0.7201736569404602,0.970336276269798,0.9581481864495974,0.9700519993798645,0.9623145209751909
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190071/48001F003202511190071 czarno/brudne_48001F003202511190071 czarno_x003_y002.bmp,0.7155225872993469,0.9970226471761888,0.9433848609642984,0.9971412026767753,0.9621995805636654
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190097/48001F003202511190097/brudne_48001F003202511190097_x001_y002.bmp,0.7173240184783936,0.9862000568227668,0.9491029251705495,0.9861552446642968,0.9620712369933611
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190071/48001F003202511190071/brudne_48001F003202511190071_x003_y002.bmp,0.7150596380233765,0.9969800356425288,0.9419153773031809,0.9970979479194252,0.9612292770188664
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190095/48001F003202511190095 czarno/brudne_48001F003202511190095 czarno_x002_y002.bmp,0.7185752987861633,0.9700653123516187,0.9530747122824124,0.9697769452448742,0.9589204938192741
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190089/48001F003202511190089/brudne_48001F003202511190089_x000_y002.bmp,0.7140588164329529,0.9951090074625712,0.9387385908793592,0.9951986764553918,0.9584996208309706
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190105/48001F003202511190105 czarno/brudne_48001F003202511190105 czarno_x003_y002.bmp,0.7161662578582764,0.982796047549375,0.9454279862451542,0.982699851664067,0.9584731391417738
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190089/48001F003202511190089 czarno/brudne_48001F003202511190089 czarno_x000_y002.bmp,0.713911771774292,0.9950624560391303,0.9382718448780747,0.9951514223353852,0.9581796969881334
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190096/48001F003202511190096 czarno/brudne_48001F003202511190096 czarno_x007_y002.bmp,0.7176827192306519,0.970308054728484,0.9502415054039222,0.9700233518326694,0.9571651516539836
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190096/48001F003202511190096/brudne_48001F003202511190096_x007_y002.bmp,0.7179814577102661,0.9665851040923512,0.9511897546777114,0.9662442030304463,0.9564588116011686
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190105/48001F003202511190105/brudne_48001F003202511190105_x003_y002.bmp,0.7143484950065613,0.9818724904157125,0.9396580823938475,0.9817623533793488,0.954394577238773
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190086/48001F003202511190086 czarno/brudne_48001F003202511190086 czarno_x002_y002.bmp,0.7113195061683655,0.9941303364319942,0.9300435309981134,0.994205232326136,0.9525001264629214
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190101/48001F003202511190101/brudne_48001F003202511190101_x003_y002.bmp,0.712283730506897,0.9860273086879572,0.9331041512100224,0.9859798888858947,0.9516106593965777
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190086/48001F003202511190086/brudne_48001F003202511190086_x002_y002.bmp,0.7106348276138306,0.9932982035044452,0.9278702390172642,0.9933605383014782,0.9507918437667391
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190101/48001F003202511190101 czarno/brudne_48001F003202511190101 czarno_x003_y002.bmp,0.7118141055107117,0.9841700281901532,0.931613477620999,0.9840945726261124,0.9499818608727887
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190107/48001F003202511190107/brudne_48001F003202511190107_x002_y002.bmp,0.7112922072410583,0.9851649140685856,0.929956879328641,0.9851044763673373,0.9492585382921848
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190107/48001F003202511190107 czarno/brudne_48001F003202511190107 czarno_x002_y002.bmp,0.709298312664032,0.9850329717811452,0.9236279019330312,0.9849705424030502,0.9450978260975378
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190111/48001F003202511190111 czarno/brudne_48001F003202511190111 czarno_x004_y002.bmp,0.7114661335945129,0.9705184719925182,0.9305089526289038,0.9702369453580908,0.9444137500841192
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190111/48001F003202511190111/brudne_48001F003202511190111_x004_y002.bmp,0.7112171649932861,0.9708714498105102,0.9297186818354846,0.9705952513976953,0.9440254811822584
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190105/48001F003202511190105 czarno/brudne_48001F003202511190105 czarno_x002_y002.bmp,0.7077500820159912,0.9903786698857024,0.9187135414209254,0.9903969341453451,0.9438027288744724
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190105/48001F003202511190105/brudne_48001F003202511190105_x002_y002.bmp,0.7077966928482056,0.9899228929818346,0.9188614925246971,0.9899342772614166,0.9437369671825488
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190093/48001F003202511190093/brudne_48001F003202511190093_x002_y002.bmp,0.7114291191101074,0.966664295599548,0.9303914620464969,0.9663245899382567,0.9429680568086128
/content/drive/MyDrive/project/data/car_data_tiles/brudne/202511190088/48001F003202511190088 czarno/brudne_48001F003202511190088 czarno_x004_y002.bmp,0.7112172245979309,0.963186718723536,0.9297188710312694,0.9627945188279745,0.9412953477601161
